address,LATITUDE,LONGITUDE
428 ANG MO KIO AVE 3,1.368939065,103.8544123
238 CHOA CHU KANG CTRL,1.379146259,103.74821
17 LOR 7 TOA PAYOH,1.336426604,103.8566081
171 LOR 1 TOA PAYOH,1.330685349,103.842659
642D PUNGGOL DR,1.39879751,103.9158457
854 YISHUN RING RD,1.416596919,103.8374029
770 WOODLANDS DR 60,1.446463334,103.7987376
824 JURONG WEST ST 81,1.346400047,103.6941394
824 JURONG WEST ST 81,1.346399609,103.6941378
244 COMPASSVALE RD,1.393379032,103.8988871
120 POTONG PASIR AVE 1,1.335453532,103.863388
842 JURONG WEST ST 81,1.344478546,103.6934788
431A YISHUN AVE 1,1.419606825,103.8472882
371 TAMPINES ST 34,1.357090895,103.9585977
102 ALJUNIED CRES,1.32043903,103.8824204
102 ALJUNIED CRES,1.320480871,103.8824728
608 CLEMENTI WEST ST 1,1.304341103,103.7665298
192 BT BATOK WEST AVE 6,1.345592352,103.7447894
675B JURONG WEST ST 64,1.345753081,103.7036418
504 BT BATOK ST 52,1.351965603,103.7549837
224A COMPASSVALE WALK,1.387882299,103.8980191
39 BEDOK STH RD,1.321397663,103.9397304
240 BISHAN ST 22,1.360844439,103.8451812
75 WHAMPOA DR,1.324418755,103.8581851
210B COMPASSVALE LANE,1.384522622,103.8997617
152 YISHUN ST 11,1.431039775,103.834755
921 JURONG WEST ST 92,1.339546948,103.6889051
315 SERANGOON AVE 2,1.352934458,103.8659708
248 BT BATOK EAST AVE 5,1.350258841,103.7566047
216B BOON LAY AVE,1.350453196,103.712257
556 WOODLANDS DR 53,1.432927729,103.7960128
556 WOODLANDS DR 53,1.432587089,103.7967075
89 DAWSON RD,1.295463169,103.8117852
704 CHOA CHU KANG ST 53,1.390458744,103.7457195
704 CHOA CHU KANG ST 53,1.390443299,103.745744
133 SIMEI ST 1,1.347313666,103.9556785
944 TAMPINES AVE 5,1.350708231,103.9408562
145 PASIR RIS ST 11,1.363219452,103.9608319
527 WOODLANDS DR 14,1.43173161,103.7921062
868 YISHUN ST 81,1.413823322,103.8373383
108B MCNAIR RD,1.319981244,103.8590051
172B EDGEDALE PLAINS,1.395724021,103.9118054
172B EDGEDALE PLAINS,1.395724015,103.9118054
317B ANCHORVALE RD,1.393862322,103.8885403
53 KENT RD,1.316525427,103.852092
431D YISHUN AVE 1,1.419969058,103.8469695
141 PETIR RD,1.375871547,103.7681357
141 PETIR RD,1.375871562,103.7681357
150 SILAT AVE,1.277077069,103.8314259
150 SILAT AVE,1.277077068,103.8314259
2 HOUGANG AVE 3,1.363137208,103.8931845
5 TELOK BLANGAH CRES,1.278724029,103.8192204
119D RIVERVALE DR,1.38530593,103.9036099
688C WOODLANDS DR 75,1.443409491,103.8073026
688C WOODLANDS DR 75,1.443281519,103.8072938
424C YISHUN AVE 11,1.423258712,103.849155
490C CHOA CHU KANG AVE 5,1.375750144,103.7417518
903 JURONG WEST ST 91,1.33971748,103.6860611
410 PANDAN GDNS,1.319009211,103.7474331
502 JELAPANG RD,1.383717213,103.7667508
683B CHOA CHU KANG CRES,1.403766711,103.7462579
221 SIMEI ST 4,1.341672665,103.9565424
596A ANG MO KIO ST 52,1.37243024,103.8509492
303 CANBERRA RD,1.444689924,103.8224416
303 CANBERRA RD,1.444689922,103.8224416
714 CLEMENTI WEST ST 2,1.304304597,103.7616832
714 CLEMENTI WEST ST 2,1.304303413,103.7616821
30 JLN KLINIK,1.287669769,103.8282029
746 PASIR RIS ST 71,1.378607029,103.9351562
645 PASIR RIS DR 10,1.378419649,103.9377905
803C KEAT HONG CL,1.373387319,103.744026
740 PASIR RIS ST 71,1.377907406,103.9359844
446A BT BATOK WEST AVE 8,1.35038382,103.7391946
611 BT PANJANG RING RD,1.383872097,103.7618598
40 SIMS DR,1.31747603,103.8763541
492D TAMPINES ST 45,1.363877252,103.9541226
431 ANG MO KIO AVE 10,1.36822021,103.8529789
623 BEDOK RESERVOIR RD,1.333657543,103.9168047
777 PASIR RIS ST 71,1.375036114,103.9373128
816A KEAT HONG LINK,1.376031519,103.7488246
179 TOA PAYOH CTRL,1.333901,103.8500929
91A TELOK BLANGAH ST 31,1.276661921,103.807128
176 WOODLANDS ST 13,1.433578584,103.7783535
431 TAMPINES ST 41,1.35958483,103.9507307
457 YISHUN ST 41,1.420404162,103.8455388
216B COMPASSVALE DR,1.390514397,103.8936707
12 PINE CL,1.308478545,103.8822878
434 ANG MO KIO AVE 10,1.367891507,103.853455
229 SIMEI ST 4,1.343155311,103.9561051
609 YISHUN ST 61,1.420989431,103.8360822
609 YISHUN ST 61,1.420989793,103.836353
222 LOR 8 TOA PAYOH,1.341765902,103.8560412
222 LOR 8 TOA PAYOH,1.341773107,103.8560398
808C CHOA CHU KANG AVE 1,1.375031351,103.7461866
195B PUNGGOL RD,1.401372012,103.9064857
624 ANG MO KIO AVE 4,1.381561712,103.8400023
869A TAMPINES AVE 8,1.355017991,103.9323174
802 YISHUN RING RD,1.418538855,103.8317633
961 JURONG WEST ST 92,1.341286949,103.6920694
521 JURONG WEST ST 52,1.346592544,103.7172476
369 WOODLANDS AVE 1,1.433436197,103.7874227
369 WOODLANDS AVE 1,1.433436207,103.7874227
322 ANG MO KIO AVE 3,1.368358588,103.8477458
162 YUNG PING RD,1.329648344,103.7220915
111 BT PURMEI RD,1.274397181,103.8272396
220C BEDOK CTRL,1.325531755,103.9338545
117 TECK WHYE LANE,1.379589156,103.751272
450E TAMPINES ST 42,1.357567919,103.9530208
101A LOR 2 TOA PAYOH,1.339741267,103.8472642
675 CHOA CHU KANG CRES,1.401346557,103.7459906
47 MOH GUAN TER,1.284205817,103.8310634
440 PASIR RIS DR 4,1.368998011,103.9586476
440 PASIR RIS DR 4,1.369008093,103.9586966
440 PASIR RIS DR 4,1.368998011,103.9586476
232 BAIN ST,1.296853111,103.8533475
70C TELOK BLANGAH HTS,1.275996185,103.810863
411A FERNVALE RD,1.390548171,103.8769085
563 HOUGANG ST 51,1.379933788,103.8886543
157 JLN TECK WHYE,1.379187865,103.7567829
928 JURONG WEST ST 92,1.340919078,103.6892449
205C COMPASSVALE LANE,1.386090759,103.8965039
689A WOODLANDS DR 75,1.444386293,103.8079254
43 MOH GUAN TER,1.284670567,103.8310493
531 BEDOK NTH ST 3,1.333129919,103.9261531
291A COMPASSVALE ST,1.395616235,103.8979418
50 CHAI CHEE ST,1.329304314,103.9224158
107 BT PURMEI RD,1.273101655,103.8245086
845 TAMPINES ST 83,1.352182556,103.9349268
314 SERANGOON AVE 2,1.352922097,103.8655184
538 WOODLANDS DR 16,1.429430697,103.7921472
668 CHOA CHU KANG CRES,1.401740738,103.7494962
836 HOUGANG CTRL,1.37008345,103.8907953
836 HOUGANG CTRL,1.369922383,103.890925
13 TECK WHYE LANE,1.378946347,103.7558479
166 TAMPINES ST 12,1.348821007,103.9464334
607 HOUGANG AVE 4,1.370252027,103.8861577
343 TAMPINES ST 33,1.351918325,103.9612759
343 TAMPINES ST 33,1.351918325,103.9612759
682C WOODLANDS DR 73,1.440755494,103.8042641
14 BEDOK STH AVE 2,1.321361191,103.9361854
981D BUANGKOK CRES,1.380452308,103.8793332
174 WOODLANDS ST 13,1.433332885,103.7777557
818 WOODLANDS ST 82,1.441661985,103.78993
818 WOODLANDS ST 82,1.441661986,103.78993
708 CLEMENTI WEST ST 2,1.305718723,103.7621678
658B PUNGGOL EAST,1.400213711,103.9190488
886D WOODLANDS DR 50,1.437925558,103.7946196
118 TECK WHYE LANE,1.379871028,103.7506473
213 MARSILING CRES,1.446408912,103.7722025
801 YISHUN RING RD,1.418209867,103.8322407
127C KIM TIAN RD,1.281522804,103.8300358
735 YISHUN ST 72,1.428924931,103.8312414
209 CHOA CHU KANG CTRL,1.382826626,103.7480145
560 ANG MO KIO AVE 10,1.370816268,103.8591923
14A UPP BOON KENG RD,1.315263539,103.8706889
532 WOODLANDS DR 14,1.430800055,103.7923732
104 RIVERVALE WALK,1.382627459,103.9009299
132 SIMEI ST 1,1.346738983,103.9559372
522 JURONG WEST ST 52,1.346453964,103.7166577
30 TEBAN GDNS RD,1.320822826,103.7390755
111B DEPOT RD,1.281165101,103.8084718
172 HOUGANG AVE 1,1.350579344,103.8894959
167 BISHAN ST 13,1.348003411,103.8553957
552 CHOA CHU KANG ST 52,1.394610617,103.7426638
41 TANGLIN HALT RD,1.298228399,103.7985854
405 HOUGANG AVE 10,1.374049696,103.8964593
28 NEW UPP CHANGI RD,1.32369452,103.9349949
28 NEW UPP CHANGI RD,1.323705317,103.9349928
352 CLEMENTI AVE 2,1.31427266,103.7713609
352 CLEMENTI AVE 2,1.31427266,103.7713609
352 CLEMENTI AVE 2,1.314278602,103.7713506
325 SEMBAWANG CRES,1.444504744,103.818706
312 ANG MO KIO AVE 3,1.366200368,103.8487784
354B ADMIRALTY DR,1.450398989,103.818681
707 PASIR RIS DR 10,1.381325882,103.9382329
107A EDGEFIELD PLAINS,1.397198794,103.9068258
388 BT BATOK WEST AVE 5,1.364850176,103.7521618
430A FERNVALE LINK,1.393870162,103.8785172
756 JURONG WEST ST 74,1.349326748,103.7007218
756 JURONG WEST ST 74,1.349326757,103.7007218
211 BT BATOK ST 21,1.346000907,103.7503677
211 BT BATOK ST 21,1.346018816,103.7503524
537 HOUGANG ST 52,1.377811037,103.8897257
537 HOUGANG ST 52,1.377798205,103.8897344
608 HOUGANG AVE 4,1.370844205,103.8854319
620 CHOA CHU KANG ST 62,1.399805063,103.7471453
620 CHOA CHU KANG ST 62,1.399576657,103.7471003
620 CHOA CHU KANG ST 62,1.399576662,103.7471003
853 HOUGANG CTRL,1.369283267,103.8940711
213 BEDOK NTH ST 1,1.326352981,103.9326372
213 BEDOK NTH ST 1,1.326333026,103.9326366
213 BEDOK NTH ST 1,1.326333026,103.9326366
690D CHOA CHU KANG CRES,1.402149787,103.7521016
690D CHOA CHU KANG CRES,1.401962037,103.7519872
555 CHOA CHU KANG NTH 6,1.396287141,103.7436766
555 CHOA CHU KANG NTH 6,1.39628678,103.7436784
718 TAMPINES ST 72,1.359087018,103.9355444
497B TAMPINES ST 45,1.358682997,103.9580245
425 HOUGANG AVE 6,1.373423294,103.8936002
182 EDGEFIELD PLAINS,1.398921796,103.9093113
216 BISHAN ST 23,1.356370631,103.849221
68 REDHILL CL,1.28687207,103.8160261
326 HOUGANG AVE 7,1.368080055,103.898545
722 ANG MO KIO AVE 8,1.37224394,103.8475293
175 BISHAN ST 13,1.348960622,103.853736
222 BT BATOK EAST AVE 3,1.347848541,103.7540349
428 JURONG WEST AVE 1,1.351599135,103.7252876
256A SUMANG WALK,1.406091605,103.8957066
861 WOODLANDS ST 83,1.439660153,103.7952358
274D PUNGGOL PL,1.403033709,103.9016885
662 WOODLANDS RING RD,1.435565379,103.7980902
533 ANG MO KIO AVE 5,1.374169234,103.8530019
533 ANG MO KIO AVE 5,1.374169237,103.8530019
229 CHOA CHU KANG CTRL,1.380653746,103.7463673
229 CHOA CHU KANG CTRL,1.380653749,103.7463673
456 PASIR RIS DR 4,1.371949148,103.9588404
259 TAMPINES ST 21,1.355135681,103.9499859
252 JURONG EAST ST 24,1.343020267,103.7381155
353 ANG MO KIO ST 32,1.364068079,103.8516123
201 TOA PAYOH NTH,1.341138036,103.8501266
279 CHOA CHU KANG AVE 3,1.380694622,103.7434344
61B STRATHMORE AVE,1.29375108,103.8119567
126B EDGEDALE PLAINS,1.394548891,103.9111062
702 YISHUN AVE 5,1.429815405,103.8294672
2 HAIG RD,1.312293493,103.8976928
135 BT BATOK WEST AVE 6,1.351252319,103.744795
57 JLN MA'MOR,1.328429655,103.8567824
851 HOUGANG CTRL,1.370168991,103.8936261
984D BUANGKOK LINK,1.382373758,103.8809546
813B YISHUN RING RD,1.417389133,103.8323685
260B ANG MO KIO ST 21,1.3688641,103.8339542
732 WOODLANDS CIRCLE,1.443347427,103.7982918
180C BOON LAY DR,1.348429168,103.7087206
276D JURONG WEST ST 25,1.353447665,103.7044112
276D JURONG WEST ST 25,1.353608838,103.7044931
29 BALAM RD,1.32999792,103.887048
475D UPP SERANGOON CRES,1.375182544,103.900406
328 CLEMENTI AVE 2,1.313991615,103.767089
101 HENDERSON CRES,1.290717998,103.8216252
108 LENGKONG TIGA,1.32456371,103.910131
989C JURONG WEST ST 93,1.335801698,103.6951451
672 CHOA CHU KANG CRES,1.402151665,103.7474959
317 HOUGANG AVE 7,1.365299662,103.8964548
984A BUANGKOK LINK,1.381982707,103.8812177
404 FAJAR RD,1.380638767,103.7675505
404 FAJAR RD,1.38063876,103.7675505
107 JLN RAJAH,1.327853327,103.8549937
5 MARINE TER,1.304563413,103.917229
205 BEDOK NTH ST 1,1.325926754,103.9308081
779 YISHUN AVE 2,1.422144614,103.8332613
43 TELOK BLANGAH RISE,1.270379512,103.823236
673A CHOA CHU KANG CRES,1.401014168,103.7475242
120 SIMEI ST 1,1.344888676,103.9532413
2C BOON TIONG RD,1.286857679,103.8328459
619 JURONG WEST ST 65,1.341517346,103.6998994
408 TAMPINES ST 41,1.358778559,103.9452683
578 WOODLANDS DR 16,1.431544558,103.7961524
267B COMPASSVALE LINK,1.383199995,103.8974332
551 JURONG WEST ST 42,1.352377701,103.7169212
178A RIVERVALE CRES,1.388973236,103.9096516
178A RIVERVALE CRES,1.388973237,103.9096516
244 SIMEI ST 5,1.343811391,103.9545032
18B HOLLAND DR,1.31101769,103.7914519
658C JURONG WEST ST 65,1.33685328,103.7004773
366A SEMBAWANG CRES,1.443800507,103.816212
508B WELLINGTON CIRCLE,1.452625101,103.8209095
441 ANG MO KIO AVE 10,1.366050278,103.8541683
178C RIVERVALE CRES,1.388732701,103.9106605
997C BUANGKOK CRES,1.385530182,103.8815879
698C HOUGANG ST 52,1.375251968,103.888186
117 CLEMENTI ST 13,1.324460582,103.7711846
150 BT BATOK ST 11,1.348784675,103.7436728
194 BISHAN ST 13,1.348299123,103.8514194
28 CASSIA CRES,1.30894453,103.8835301
106 BEDOK RESERVOIR RD,1.329501522,103.9093817
545 ANG MO KIO AVE 10,1.373179219,103.8562945
988B BUANGKOK GREEN,1.379894363,103.8774062
406 SIN MING AVE,1.362944554,103.8340935
112 BEDOK RESERVOIR RD,1.329694088,103.9104902
725 YISHUN ST 71,1.426956151,103.83071
326 SEMBAWANG CRES,1.444916885,103.8191194
326 SEMBAWANG CRES,1.444699997,103.8191623
326 SEMBAWANG CRES,1.444916883,103.8191194
269B QUEEN ST,1.300356709,103.8534664
190B RIVERVALE DR,1.39415593,103.9023759
679B PUNGGOL DR,1.40631693,103.908463
705 YISHUN AVE 5,1.42909455,103.8295117
518 WOODLANDS DR 14,1.434381597,103.791681
405 BT BATOK WEST AVE 7,1.365764391,103.7453993
412 BEDOK NTH AVE 2,1.329291261,103.9310907
117 YISHUN RING RD,1.435558747,103.8276991
226 SIMEI ST 4,1.342531994,103.9570125
145 TAMPINES ST 12,1.348801821,103.943691
49 STRATHMORE AVE,1.294021643,103.8082128
307 SERANGOON AVE 2,1.354628177,103.8670687
307 SERANGOON AVE 2,1.354628176,103.8670687
54 TEBAN GDNS RD,1.321598465,103.7369231
277B COMPASSVALE LINK,1.382336657,103.8945108
277B COMPASSVALE LINK,1.382336659,103.8945108
110 GANGSA RD,1.377863721,103.7681392
572 HOUGANG ST 51,1.378270725,103.8874851
817 YISHUN ST 81,1.412051994,103.8339714
362B SEMBAWANG CRES,1.446592571,103.8135408
504 JURONG WEST ST 51,1.349827613,103.7188438
504 JURONG WEST ST 51,1.349827605,103.7188438
470 SEGAR RD,1.388416407,103.7732636
110 WOODLANDS ST 13,1.4375976,103.7815756
121 BISHAN ST 12,1.347312943,103.8511166
121 BISHAN ST 12,1.347186678,103.8510492
144 BISHAN ST 12,1.345935635,103.8533117
144 BISHAN ST 12,1.345941268,103.8533221
681 CHOA CHU KANG CRES,1.403043344,103.7455898
173D PUNGGOL FIELD,1.396007992,103.9107647
173D PUNGGOL FIELD,1.396007989,103.9107647
253 SIMEI ST 1,1.341821167,103.952586
808B CHOA CHU KANG AVE 1,1.375592498,103.7460213
126 POTONG PASIR AVE 1,1.334972463,103.8652343
554 HOUGANG ST 51,1.378743306,103.8896814
868 TAMPINES ST 83,1.354776164,103.9339796
868 TAMPINES ST 83,1.354776154,103.9339796
139B LOR 1A TOA PAYOH,1.336711091,103.8438782
547 CHOA CHU KANG ST 52,1.393169868,103.7426144
505 CHOA CHU KANG ST 51,1.389074186,103.7421409
505 CHOA CHU KANG ST 51,1.388830867,103.7420493
114 LOR 1 TOA PAYOH,1.340940348,103.8443059
319 JURONG EAST ST 31,1.347989423,103.7304582
43 SIMS DR,1.317160584,103.8765829
988B JURONG WEST ST 93,1.336190797,103.6957924
16 JOO SENG RD,1.336477172,103.8803459
69 MOULMEIN RD,1.318951762,103.850518
406A FERNVALE RD,1.388018983,103.874295
544 JELAPANG RD,1.382058449,103.7640154
827 TAMPINES ST 81,1.349716567,103.9337219
827 TAMPINES ST 81,1.349721495,103.9337192
134 LOR AH SOO,1.350464683,103.8865094
555 PASIR RIS ST 51,1.368008219,103.95191
187 PASIR RIS ST 11,1.36478562,103.9592925
187 PASIR RIS ST 11,1.364785622,103.9592925
305 TAMPINES ST 32,1.352413463,103.9558713
305 TAMPINES ST 32,1.352413467,103.9558713
103 LENGKONG TIGA,1.325855463,103.9105989
590B ANG MO KIO ST 51,1.371186426,103.8529803
838 TAMPINES ST 82,1.350853252,103.9353799
325 SERANGOON AVE 3,1.35093759,103.868683
113 TAMPINES ST 11,1.346478513,103.9461768
113 TAMPINES ST 11,1.346478517,103.9461768
615 WOODLANDS AVE 4,1.434081708,103.7966624
250 BANGKIT RD,1.380655025,103.7736987
716 YISHUN ST 71,1.426124889,103.8275126
716 YISHUN ST 71,1.426157257,103.8274494
716 YISHUN ST 71,1.426210966,103.8277041
716 YISHUN ST 71,1.426157266,103.8274494
18 MARINE TER,1.303208583,103.9143008
18 MARINE TER,1.303208593,103.9143008
327 TAH CHING RD,1.336151468,103.7226334
7 JLN BT MERAH,1.287300521,103.8079883
338 BT BATOK ST 34,1.363534169,103.7506727
338 BT BATOK ST 34,1.363552496,103.7509481
443 YISHUN AVE 11,1.423810021,103.844973
706 WOODLANDS DR 40,1.439778457,103.7966868
6 FARRER RD,1.317319712,103.8080572
6 FARRER RD,1.317319714,103.8080572
321 TAH CHING RD,1.337271661,103.7243555
360 BT BATOK ST 31,1.361067048,103.7506254
805 KING GEORGE'S AVE,1.308294618,103.8608879
805 KING GEORGE'S AVE,1.308272555,103.8609007
486 PASIR RIS DR 4,1.374334152,103.9603522
235 BT PANJANG RING RD,1.378183506,103.7712914
235 BT PANJANG RING RD,1.378194277,103.7712486
751 YISHUN ST 72,1.427611888,103.8342684
751 YISHUN ST 72,1.427608208,103.8343065
129 SIMEI ST 1,1.346245794,103.9542766
94C BEDOK NTH AVE 4,1.333614296,103.9426283
219C BEDOK CTRL,1.324855984,103.9335196
111A DEPOT RD,1.281122693,103.8086879
228 PASIR RIS ST 21,1.372162906,103.9613795
335 HOUGANG AVE 7,1.368948175,103.8987181
222A SUMANG LANE,1.401125664,103.8934764
931 YISHUN CTRL 1,1.426609633,103.8373364
359C ADMIRALTY DR,1.449124937,103.8147139
425 JURONG WEST AVE 1,1.350850806,103.7244373
16 ST. GEORGE'S RD,1.324351254,103.8623603
305 CHOA CHU KANG AVE 4,1.384327856,103.7429171
505 BEDOK NTH AVE 3,1.331828382,103.9333383
91 TANGLIN HALT RD,1.300727923,103.7994173
48 LOWER DELTA RD,1.289442681,103.8262014
103B DEPOT RD,1.280736924,103.8131357
225B COMPASSVALE WALK,1.387845529,103.8989519
4 QUEEN'S RD,1.318832253,103.808062
346 CHOA CHU KANG LOOP,1.383589987,103.7449011
154 BT BATOK ST 11,1.347735583,103.743984
125 SERANGOON NTH AVE 1,1.366450633,103.8721108
125 SERANGOON NTH AVE 1,1.366450633,103.8721108
327C SUMANG WALK,1.412069303,103.8999743
106 PASIR RIS ST 12,1.36801255,103.9576531
357C ADMIRALTY DR,1.449829415,103.817599
242 HOUGANG ST 22,1.357388977,103.8921679
623 WOODLANDS DR 52,1.434849256,103.7989224
39 CAMBRIDGE RD,1.316338073,103.8484685
647 JURONG WEST ST 61,1.340111291,103.6973881
413 BEDOK NTH AVE 2,1.330301637,103.9310862
683A EDGEDALE PLAINS,1.404263444,103.9153714
328 SERANGOON AVE 3,1.350286159,103.8683526
89 C'WEALTH DR,1.305377974,103.7993239
59 TELOK BLANGAH HTS,1.275353433,103.8135883
781 PASIR RIS ST 71,1.373863311,103.9385746
913 JURONG WEST ST 91,1.34189152,103.6875769
98 ALJUNIED CRES,1.320865256,103.8856974
160 BT BATOK ST 11,1.348884904,103.7420358
177 TOA PAYOH CTRL,1.333900341,103.8488548
177 TOA PAYOH CTRL,1.333902459,103.8488447
456 CLEMENTI AVE 3,1.311928068,103.7669853
36 CIRCUIT RD,1.329026079,103.8869308
261D SENGKANG EAST WAY,1.393672077,103.8947928
123D RIVERVALE DR,1.386844965,103.9021921
1 CHANGI VILLAGE RD,1.388546562,103.9878045
1 CHANGI VILLAGE RD,1.390402115,103.9860611
1 CHANGI VILLAGE RD,1.388610038,103.9880935
775 WOODLANDS CRES,1.448515378,103.7998837
311D ANCHORVALE LANE,1.39185684,103.8847024
165A PUNGGOL CTRL,1.394998966,103.9147543
307C ANG MO KIO AVE 1,1.365561004,103.8451695
