,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,YUHUA PRIMARY SCHOOL,158,JURONG EAST STREET 24,YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24 YUHUA PRIMARY SCHOOL SINGAPORE 609558,609558,17737.7130106175,36105.9662365932,1.34280230475033,103.741105772644,103.741105772644,Yuhua Primary School
0,PUNGGOL VIEW PRIMARY SCHOOL,9,PUNGGOL PLACE,PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE PUNGGOL VIEW PRIMARY SCHOOL SINGAPORE 828845,828845,35994.5599585725,42999.5250743832,1.40514582647962,103.905156371376,103.905156371376,Punggol Primary School
1,KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL),52,SUMANG WALK,KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL),52 SUMANG WALK KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL) SINGAPORE 828674,828674,35298.7904222226,43711.4672181848,1.41158455562454,103.89890448429,103.89890448429,Punggol Primary School
2,PUNGGOL COVE PRIMARY SCHOOL,52,SUMANG WALK,PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK PUNGGOL COVE PRIMARY SCHOOL SINGAPORE 828674,828674,35287.5991076548,43713.0898242556,1.41159923273069,103.898803921164,103.898803921164,Punggol Primary School
3,AFTERSCHOOL @ PUNGGOL PRIMARY SCHOOL,61,HOUGANG AVENUE 8,AFTERSCHOOL @ PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8 AFTERSCHOOL @ PUNGGOL PRIMARY SCHOOL SINGAPORE 538787,538787,34827.3316768408,40020.0263597388,1.37820062547641,103.894667159512,103.894667159512,Punggol Primary School
4,PUNGGOL PRIMARY SCHOOL,61,HOUGANG AVENUE 8,PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8 PUNGGOL PRIMARY SCHOOL SINGAPORE 538787,538787,34809.5016854042,39975.1199013237,1.37779451191095,103.894506933668,103.894506933668,Punggol Primary School
5,PUNGGOL GREEN PRIMARY SCHOOL,98,PUNGGOL WALK,PUNGGOL GREEN PRIMARY SCHOOL,98 PUNGGOL WALK PUNGGOL GREEN PRIMARY SCHOOL SINGAPORE 828772,828772,35287.340952022,42637.5237120874,1.40187220643293,103.898801330302,103.898801330302,Punggol Primary School
6,LEARNING LEAP PTE LTD (PUNGGOL GREEN PRIMARY SCHOOL),98,PUNGGOL WALK,LEARNING LEAP PTE LTD (PUNGGOL GREEN PRIMARY SCHOOL),98 PUNGGOL WALK LEARNING LEAP PTE LTD (PUNGGOL GREEN PRIMARY SCHOOL) SINGAPORE 828772,828772,35286.5548319491,42621.3463525623,1.40172590450528,103.898794262307,103.898794262307,Punggol Primary School
0,FENGSHAN PRIMARY SCHOOL,307,BEDOK NORTH ROAD,FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680,469680,38949.9907227494,34668.9245775398,1.32980598760785,103.931710293058,103.931710293058,Fengshan Primary School
0,QIFA PRIMARY SCHOOL,50,WEST COAST AVENUE,QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE QIFA PRIMARY SCHOOL SINGAPORE 128104,128104,19477.8961843997,32838.2868056744,1.31325113867272,103.756743261958,103.756743261958,Qifa Primary School
1,AMP-MERCU STUDENT CARE CENTRE @ QIFA PRIMARY SCHOOL,50,WEST COAST AVENUE,AMP-MERCU STUDENT CARE CENTRE @ QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE AMP-MERCU STUDENT CARE CENTRE @ QIFA PRIMARY SCHOOL SINGAPORE 128104,128104,19465.1912890384,32839.9119845238,1.3132658326807,103.756629101811,103.756629101811,Qifa Primary School
0,COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY),9,BISHAN STREET 22,COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY),9 BISHAN STREET 22 COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY) SINGAPORE 579767,579767,29212.1656484166,37386.9490167908,1.35438878373608,103.844210670766,103.844210670766,Catholic High School (Primary)
0,PALM VIEW PRIMARY SCHOOL,150,COMPASSVALE BOW,PALM VIEW PRIMARY SCHOOL,150 COMPASSVALE BOW PALM VIEW PRIMARY SCHOOL SINGAPORE 544822,544822,34458.6783197625,40635.7654705234,1.38376923022123,103.891354675017,103.891354675017,Palm View Primary School
0,NANYANG PRIMARY SCHOOL,52,KING'S ROAD,NANYANG PRIMARY SCHOOL,52 KING'S ROAD NANYANG PRIMARY SCHOOL SINGAPORE 268097,268097,25154.4872114761,33678.1373927556,1.32084749904532,103.807750155296,103.807750155296,Nanyang Primary School
1,NANYANG PRIMARY SCHOOL,51,CORONATION ROAD,NANYANG PRIMARY SCHOOL,51 CORONATION ROAD NANYANG PRIMARY SCHOOL SINGAPORE 269460,269460,25011.8029676573,33707.7719583772,1.32111548993736,103.806468059795,103.806468059795,Nanyang Primary School
0,ZHANGDE PRIMARY SCHOOL,51,JALAN MEMBINA,ZHANGDE PRIMARY SCHOOL,51 JALAN MEMBINA ZHANGDE PRIMARY SCHOOL SINGAPORE 169485,169485,27180.1468993286,29627.1075303145,1.28421153335379,103.825951875662,103.825951875662,Zhangde Primary School
0,AHMAD IBRAHIM PRIMARY SCHOOL,10,YISHUN STREET 11,AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643,768643,27958.1371433474,46096.2627680488,1.43315271543517,103.832942401086,103.832942401086,Ahmad Ibrahim Primary School
0,BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL),30,BUKIT BATOK WEST AVENUE 3,BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL),30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163,659163,17694.7193374345,36812.396792436,1.34919098857585,103.740719208011,103.740719208011,Princess Elizabeth Primary School
1,PRINCESS ELIZABETH PRIMARY SCHOOL,30,BUKIT BATOK WEST AVENUE 3,PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3 PRINCESS ELIZABETH PRIMARY SCHOOL SINGAPORE 659163,659163,17728.1546840398,36813.7803722396,1.349203512653,103.74101964471,103.74101964471,Princess Elizabeth Primary School
0,AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL,111,LORONG KISMIS,AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112,598112,20603.3479896449,35547.1996132508,1.3377498622588,103.766855344779,103.766855344779,Bukit Timah Primary School
1,BUKIT TIMAH PRIMARY SCHOOL,111,LORONG KISMIS,BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112,598112,20600.383664391,35497.4072666373,1.3372995575169,103.766828720721,103.766828720721,Bukit Timah Primary School
0,ELIAS PARK PRIMARY SCHOOL,11,PASIR RIS STREET 52,ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52 ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866,518866,40443.0313903531,39612.4369040336,1.37451269377776,103.945128117139,103.945128117139,Elias Park Primary School
1,AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL,11,PASIR RIS STREET 52,AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52 AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866,518866,40460.9792755861,39672.6204007976,1.37505696315817,103.945289416873,103.945289416873,Elias Park Primary School
0,SAINT GABRIEL'S PRIMARY SCHOOL,220,LORONG CHUAN,SAINT GABRIEL'S PRIMARY SCHOOL,220 LORONG CHUAN SAINT GABRIEL'S PRIMARY SCHOOL SINGAPORE 556742,556742,31254.358949963,36843.2848763354,1.34947192653862,103.862561037707,103.862561037707,St. Gabriel's Primary School
0,TEMASEK PRIMARY SCHOOL,501,BEDOK SOUTH AVENUE 3,TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVENUE 3 TEMASEK PRIMARY SCHOOL SINGAPORE 469300,469300,40494.7969370941,33331.1191061512,1.31770677551333,103.945590669163,103.945590669163,Temasek Primary School
0,UNITY PRIMARY SCHOOL,21,CHOA CHU KANG CRESCENT,UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT UNITY PRIMARY SCHOOL SINGAPORE 688268,688268,18374.1775784306,42746.2521210518,1.40285481877246,103.746822625758,103.746822625758,Unity Primary School
0,EDGEFIELD PRIMARY SCHOOL,41,EDGEFIELD PLAINS,EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,36294.0746121518,42440.6405269764,1.40009139510996,103.907847599114,103.907847599114,Edgefield Primary School
1,WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL,41,EDGEFIELD PLAINS,WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,36247.6589920688,42463.4656134974,1.40029783011552,103.907430523653,103.907430523653,Edgefield Primary School
0,HOLY INNOCENTS' PRIMARY SCHOOL,5,LORONG LOW KOON,HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON HOLY INNOCENTS' PRIMARY SCHOOL SINGAPORE 536451,536451,34765.9036816582,38774.6943912152,1.36693830877349,103.894114899795,103.894114899795,Holy Innocents' Primary School
0,YANGZHENG PRIMARY SCHOOL,15,SERANGOON AVENUE 3,YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3 YANGZHENG PRIMARY SCHOOL SINGAPORE 556108,556108,31925.931594234,36751.9403087255,1.34864575840923,103.868595527042,103.868595527042,Yangzheng Primary School
0,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),190,DUNEARN ROAD,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),190 DUNEARN ROAD SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY) SINGAPORE 309437,309437,27379.6878858209,33673.6731678378,1.32080725235992,103.827744749548,103.827744749548,Singapore Chinese Girls’ School (Primary)
0,CANOSSA CATHOLIC PRIMARY SCHOOL,1,SALLIM ROAD,CANOSSA CATHOLIC PRIMARY SCHOOL,1 SALLIM ROAD CANOSSA CATHOLIC PRIMARY SCHOOL SINGAPORE 387621,387621,33443.1189393327,34319.1509661097,1.32664424544839,103.882227964852,103.882227964852,Canossa Catholic Primary School
0,YMCA STUDENT CARE CENTRE @ CHIJ (KELLOCK),1,BUKIT TERESA ROAD,YMCA STUDENT CARE CENTRE @ CHIJ (KELLOCK),1 BUKIT TERESA ROAD YMCA STUDENT CARE CENTRE @ CHIJ (KELLOCK) SINGAPORE 099757,099757,27402.9654484307,28579.8478246406,1.27474048872023,103.827954007978,103.827954007978,CHIJ (Kellock)
1,CHIJ (KELLOCK),1,BUKIT TERESA ROAD,CHIJ (KELLOCK),1 BUKIT TERESA ROAD CHIJ (KELLOCK) SINGAPORE 099757,099757,27425.6197932558,28611.0557805933,1.275022722964,103.828157564896,103.828157564896,CHIJ (Kellock)
0,RADIN MAS PRIMARY SCHOOL,1,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,099840,26983.8685896052,28603.9263991714,1.27495823622634,103.824188270373,103.824188270373,Radin Mas Primary School
0,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,501,ANG MO KIO STREET 13,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405,569405,28104.0195931299,39497.6106162649,1.37347687878916,103.834253269436,103.834253269436,CHIJ St. Nicholas Girls' School
0,RAFFLES GIRLS' PRIMARY SCHOOL,21,HILLCREST ROAD,RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD RAFFLES GIRLS' PRIMARY SCHOOL SINGAPORE 289072,289072,25009.0146507286,34624.3017604016,1.3294042600012,103.806442915912,103.806442915912,Raffles Girls' Primary School
0,NAVAL BASE PRIMARY SCHOOL,7,YISHUN AVENUE 4,NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVENUE 4 NAVAL BASE PRIMARY SCHOOL SINGAPORE 769028,769028,28609.3447617413,44233.5083953608,1.41630663159387,103.838794077233,103.838794077233,Naval Base Primary School
0,GREENWOOD PRIMARY SCHOOL,11,WOODLANDS DRIVE 62,GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942,737942,24818.0410170276,46842.3174743224,1.43989958331782,103.804725587384,103.804725587384,Greenwood Primary School
1,SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL),11,WOODLANDS DRIVE 62,SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL),11 WOODLANDS DRIVE 62 SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL) SINGAPORE 737942,737942,24794.6262799157,46865.6384109538,1.4401104867196,103.804515180606,103.804515180606,Greenwood Primary School
0,YU NENG PRIMARY SCHOOL,56,BEDOK NORTH STREET 3,YU NENG PRIMARY SCHOOL,56 BEDOK NORTH STREET 3 YU NENG PRIMARY SCHOOL SINGAPORE 469623,469623,38998.3352306299,35120.4393246993,1.33388930344069,103.932144857355,103.932144857355,Yu Neng Primary School
0,XINGNAN PRIMARY SCHOOL,5,JURONG WEST STREET 91,XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91 XINGNAN PRIMARY SCHOOL SINGAPORE 649036,649036,11822.0669615418,36078.0729275383,1.34254744877694,103.687950252103,103.687950252103,Xingnan Primary School
1,SHG STUDENT CARE (XINGNAN PRIMARY SCHOOL),5,JURONG WEST STREET 91,SHG STUDENT CARE (XINGNAN PRIMARY SCHOOL),5 JURONG WEST STREET 91 SHG STUDENT CARE (XINGNAN PRIMARY SCHOOL) SINGAPORE 649036,649036,11781.8064267524,36095.6510288138,1.34270639669225,103.687588478681,103.687588478681,Xingnan Primary School
0,HENRY PARK PRIMARY SCHOOL,1,HOLLAND GROVE ROAD,HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790,278790,22544.2873791968,33216.9645254761,1.31667646178347,103.784296227747,103.784296227747,Henry Park Primary School
0,ALEXANDRA PRIMARY SCHOOL,2A,PRINCE CHARLES CRESCENT,ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,159016,27010.1854815315,30414.7169698272,1.29133439161334,103.824424680531,103.824424680531,Alexandra Primary School
0,GREENDALE PRIMARY SCHOOL,50,EDGEDALE PLAINS,GREENDALE PRIMARY SCHOOL,50 EDGEDALE PLAINS GREENDALE PRIMARY SCHOOL SINGAPORE 828848,828848,36793.4333255449,42041.5424514245,1.39648195114256,103.91233462071,103.91233462071,Greendale Primary School
0,YIO CHU KANG PRIMARY SCHOOL,1,HOUGANG STREET 51,YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51 YIO CHU KANG PRIMARY SCHOOL SINGAPORE 538720,538720,33823.1315680202,39990.3703038469,1.37793264345276,103.885643682171,103.885643682171,Yio Chu Kang Primary School
0,YMCA STUDENT CARE CENTRE @ CHIJ PRIMARY (TOA PAYOH),628,LORONG 1 TOA PAYOH,YMCA STUDENT CARE CENTRE @ CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH YMCA STUDENT CARE CENTRE @ CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765,319765,28949.1543042725,34994.5335020255,1.33275263726147,103.841847268953,103.841847268953,CHIJ Primary (Toa Payoh)
1,CHIJ PRIMARY (TOA PAYOH),628,LORONG 1 TOA PAYOH,CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765,319765,28949.1537291808,34994.5345916729,1.33275264711587,103.841847263786,103.841847263786,CHIJ Primary (Toa Payoh)
0,CASUARINA PRIMARY SCHOOL,30,PASIR RIS STREET 41,CASUARINA PRIMARY SCHOOL,30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935,518935,41766.4977676729,39385.5958609674,1.37246063927999,103.957020286115,103.957020286115,Casuarina Primary School
0,COMMIT LEARNING SCHOOLHOUSE @ PEIYING PRIMARY SCHOOL,651,YISHUN RING ROAD,COMMIT LEARNING SCHOOLHOUSE @ PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD COMMIT LEARNING SCHOOLHOUSE @ PEIYING PRIMARY SCHOOL SINGAPORE 768687,768687,27646.6270154091,44356.206750067,1.41741627551251,103.830143209875,103.830143209875,Peiying Primary School
1,PEIYING PRIMARY SCHOOL,651,YISHUN RING ROAD,PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD PEIYING PRIMARY SCHOOL SINGAPORE 768687,768687,27677.1059972411,44335.9849220216,1.41723339695904,103.830417090698,103.830417090698,Peiying Primary School
0,SHUQUN PRIMARY SCHOOL,8,JURONG WEST STREET 51,SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51 SHUQUN PRIMARY SCHOOL SINGAPORE 649332,649332,15558.4638573611,36642.4359194618,1.34765311431632,103.721523713379,103.721523713379,Shuqun Primary School
0,POI CHING SCHOOL,21,TAMPINES STREET 71,POI CHING SCHOOL,21 TAMPINES STREET 71 POI CHING SCHOOL SINGAPORE 529067,529067,39343.403805064,37747.9291978516,1.35765122315688,103.935246477199,103.935246477199,Poi Ching School
0,POWERLIFE STUDENT SERVICES @ QIHUA PRIMARY SCHOOL,5,WOODLANDS STREET 81,POWERLIFE STUDENT SERVICES @ QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81 POWERLIFE STUDENT SERVICES @ QIHUA PRIMARY SCHOOL SINGAPORE 738525,738525,22994.5556907868,47078.5773993656,1.44203596557592,103.788339762066,103.788339762066,Qihua Primary School
1,QIHUA PRIMARY SCHOOL,5,WOODLANDS STREET 81,QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81 QIHUA PRIMARY SCHOOL SINGAPORE 738525,738525,22994.5551156951,47078.5774599016,1.4420359661233,103.788339756898,103.788339756898,Qihua Primary School
0,FORMER TAO NAN SCHOOL,39,ARMENIAN STREET,FORMER TAO NAN SCHOOL,39 ARMENIAN STREET FORMER TAO NAN SCHOOL SINGAPORE 179941,179941,29748.116507777,30746.1923441123,1.2943321052493,103.849026157822,103.849026157822,Tao Nan School
1,TAO NAN SCHOOL,49,MARINE CRESCENT,TAO NAN SCHOOL,49 MARINE CRESCENT TAO NAN SCHOOL SINGAPORE 449761,449761,36706.7907984024,31957.4686842412,1.30528528687321,103.911553152326,103.911553152326,Tao Nan School
